name,price,type,thc
Blue Dream,750,Hybrid,18
Bruce Banner,750,Hybrid,21
Six Shooter,750,Hybrid,7
Pink Kush,750,Hybrid,19
BCN,750,Hybrid,23
C4,650,Hybrid,19
LSD 25,650,Hybrid,27
Gorilla Glue,750,Hybrid,20
OG Kush,750,Hybrid,18
Thai Stick,450,Sativa,19
