100OG,500,Hybrid,18
Blue Fire,550,Hybrid,18
Blueberry Muffin,550,Hybrid,20
Charlotte Angel,350,Sativa,1
Colt45,550,Indica,28
Destroyer,350,Sativa,14
Forbidden Runtz Strain,550,Hybrid,20
Gelato,500,Hybrid,16
Gorilla Cookie,550,Hybrid,20
Gorilla Glue,600,Hybrid,20
Gorilla Skittlez,550,Hybrid,20
Mimosa Cake,550,Hybrid,20
OG Kush,550,Hybrid,18
Strawberry Banana,550,Hybrid,21
Strawberry Gorilla,550,Hybrid,22
Thai Stick,350,Sativa,19
